city,date,day_temperatre,night_temperature
Вологда,01.03.2023,-3.8,-8.5
Вологда,02.03.2023,-3.9,-8.3
Вологда,03.03.2023,-0.6,-3.8
Вологда,04.03.2023,1.1,-4.0
Вологда,05.03.2023,-4.2,-7.4
Вологда,06.03.2023,-3.4,-9.7
Вологда,07.03.2023,-1.2,-11.4
Вологда,08.03.2023,-2.8,-14.6
Вологда,09.03.2023,-0.9,-4.5
Вологда,10.03.2023,-5.4,-18.1
Вологда,11.03.2023,-2.7,-23.3
Вологда,12.03.2023,4.0,-4.9
Вологда,13.03.2023,-3.1,-7.1
Вологда,14.03.2023,3.2,-11.0
Вологда,15.03.2023,6.6,2.1
Вологда,16.03.2023,3.1,-0.5
Вологда,17.03.2023,0.6,-11.0
Вологда,18.03.2023,2.4,-14.6
Вологда,19.03.2023,2.4,-6.0
Вологда,20.03.2023,5.7,-0.1
Вологда,21.03.2023,7.2,2.8
Вологда,22.03.2023,3.9,-3.1
Вологда,23.03.2023,5.8,1.5
Вологда,24.03.2023,5.7,2.3
Вологда,25.03.2023,6.9,2.0
Вологда,26.03.2023,5.5,1.0
Вологда,27.03.2023,6.2,0.4
Вологда,28.03.2023,3.3,-0.5
Вологда,29.03.2023,6.8,0.3
Вологда,30.03.2023,3.9,-0.1
Вологда,31.03.2023,0.1,-3.2
Рязань,01.03.2023,-1.8,-8.0
Рязань,02.03.2023,-2.6,-7.9
Рязань,03.03.2023,2.7,-3.0
Рязань,04.03.2023,1.6,-4.6
Рязань,05.03.2023,-1.4,-3.5
Рязань,06.03.2023,-0.4,-6.7
Рязань,07.03.2023,-0.3,-8.0
Рязань,08.03.2023,1.8,-4.9
Рязань,09.03.2023,2.8,-3.4
Рязань,10.03.2023,-1.9,-10.2
Рязань,11.03.2023,1.7,-11.1
Рязань,12.03.2023,5.7,-2.7
Рязань,13.03.2023,0.4,-4.4
Рязань,14.03.2023,3.9,-5.2
Рязань,15.03.2023,5.1,1.5
Рязань,16.03.2023,3.0,0.1
Рязань,17.03.2023,4.6,-1.5
Рязань,18.03.2023,4.2,-4.7
Рязань,19.03.2023,1.1,-5.5
Рязань,20.03.2023,5.6,-0.4
Рязань,21.03.2023,6.3,0.1
Рязань,22.03.2023,7.6,2.0
Рязань,23.03.2023,9.4,2.4
Рязань,24.03.2023,8.0,5.2
Рязань,25.03.2023,12.9,2.7
Рязань,26.03.2023,12.6,6.9
Рязань,27.03.2023,10.5,3.4
Рязань,28.03.2023,11.0,-0.2
Рязань,29.03.2023,9.6,5.7
Рязань,30.03.2023,6.4,2.0
Рязань,31.03.2023,4.0,0.4
Орел,01.03.2023,1.1,-5.4
Орел,02.03.2023,1.4,-6.2
Орел,03.03.2023,4.2,-1.7
Орел,04.03.2023,1.0,-2.2
Орел,05.03.2023,1.2,-5.6
Орел,06.03.2023,0.4,-6.0
Орел,07.03.2023,0.2,-7.3
Орел,08.03.2023,2.0,-7.3
Орел,09.03.2023,4.0,-1.5
Орел,10.03.2023,0.8,-4.3
Орел,11.03.2023,4.3,-4.0
Орел,12.03.2023,6.1,-2.9
Орел,13.03.2023,1.4,-5.7
Орел,14.03.2023,6.2,-1.0
Орел,15.03.2023,6.4,1.2
Орел,16.03.2023,4.0,2.0
Орел,17.03.2023,3.1,1.4
Орел,18.03.2023,3.9,-1.8
Орел,19.03.2023,4.9,-4.7
Орел,20.03.2023,6.1,-2.4
Орел,21.03.2023,10.2,-0.4
Орел,22.03.2023,10.3,-0.8
Орел,23.03.2023,14.0,2.8
Орел,24.03.2023,13.6,6.5
Орел,25.03.2023,14.8,6.3
Орел,26.03.2023,8.2,4.1
Орел,27.03.2023,12.8,2.6
Орел,28.03.2023,14.8,0.3
Орел,29.03.2023,7.8,1.5
Орел,30.03.2023,3.3,-1.3
Орел,31.03.2023,1.8,-2.8
Калуга,01.03.2023,-2.0,-5.0
Калуга,02.03.2023,1.0,-5.0
Калуга,03.03.2023,2.0,-5.0
Калуга,04.03.2023,0.0,-5.0
Калуга,05.03.2023,-1.0,-5.0
Калуга,06.03.2023,-1.0,-5.0
Калуга,07.03.2023,-2.0,-8.0
Калуга,08.03.2023,2.0,-6.0
Калуга,09.03.2023,0.0,-7.0
Калуга,10.03.2023,-3.0,-11.0
Калуга,11.03.2023,3.0,-6.0
